Date,Ticker,Amount
2019-03-14,COST,0.65
2019-05-09,COST,0.65
2019-08-29,COST,0.65
2019-10-31,COST,0.65
2020-02-06,COST,0.65
2020-04-30,COST,0.70
2020-07-30,COST,0.70
2020-10-29,COST,0.70
2020-12-01,COST,10.00
2021-02-04,COST,0.70
2021-04-29,COST,0.79
2021-07-29,COST,0.79
2021-10-28,COST,0.79
2022-01-20,COST,0.79
2019-03-14,WMT,0.54
2019-05-09,WMT,0.54
2019-08-15,WMT,0.54
2019-12-05,WMT,0.54
2020-03-05,WMT,0.54
2020-05-14,WMT,0.54
2020-08-13,WMT,0.54
2020-12-10,WMT,0.54
2021-03-18,WMT,0.55
2021-05-06,WMT,0.55
2021-08-12,WMT,0.55
2021-12-09,WMT,0.55
2022-03-17,WMT,0.56
2019-05-16,NVDA,0.16
2020-05-21,NVDA,0.16
2021-05-20,NVDA,0.16
2022-05-19,NVDA,0.04
2019-03-14,MSFT,0.46
2019-06-13,MSFT,0.46
2019-09-12,MSFT,0.51
2019-12-12,MSFT,0.51
2020-03-12,MSFT,0.51
2020-06-11,MSFT,0.51
2020-09-10,MSFT,0.56
2020-12-10,MSFT,0.56
2021-03-11,MSFT,0.56
2021-06-10,MSFT,0.56
2021-09-09,MSFT,0.62
2021-12-09,MSFT,0.62
2019-02-14, AAPL, 0.73
2019-05-16, AAPL, 0.77
2019-08-15, AAPL, 0.77
2019-11-14, AAPL, 0.77
2020-02-13, AAPL, 0.77
2020-05-14, AAPL, 0.82
2020-08-13, AAPL, 0.82
2020-11-12, AAPL, 0.205
2021-02-11, AAPL, 0.205
2021-05-13, AAPL, 0.22
2021-08-12, AAPL, 0.22
2021-11-11, AAPL, 0.22
2019-03-28, HD, 1.36
2019-06-20, HD, 1.36
2019-09-18, HD, 1.36
2019-12-19, HD, 1.36
2020-03-26, HD, 1.50
2020-06-18, HD, 1.50
2020-09-17, HD, 1.50
2020-12-17, HD, 1.50
2021-03-25, HD, 1.65
2021-06-17, HD, 1.65
2021-09-16, HD, 1.65
2021-12-16, HD, 1.65
